Aka,RRV,C2-Modification,Alcohol_type,Alcohol_position,C1_stereo_donor,C6_Modification,Solvent,C4_stereo_donor,C6-Modification_a,Concentartion,temperature,C4-Modification_a,a_2_sub,C3_Modification_a,Stoichiometery,C1_Modification-a,C1_stereo_acceptor,a-ratio
x18,x9,x3,x17,x16,x2,x8,x20,x7,x15,x21,x19,x14,x12,x13,x22,x10,x11,y1
7.16,2656,OBn,primary,6_OH,b,OBn,DCM,equatorial,OH,0.167M,0 ℃,OBn,OBn,OBn,1:1.5,OMe,a,50
7.16,72000,OBn,primary,6_OH,b,CH3,DCM,axial,OH,0.167M,0 ℃,OBn,OBn,OBn,1:1.5,OMe,a,52
7.16,1000000,H,primary,6_OH,a,OBn,DCM,equatorial,OH,0.167M,0 ℃,OBn,OBn,OBn,1:1.5,OMe,a,72
1,270,N3,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.167M,0 ℃,OH,OBn,OBn,1:1.5,OMe,a,53
1,2656,OBn,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.167M,0 ℃,OH,OBn,OBn,1:1.5,OMe,a,70
1,72000,OBn,secondary,4_OH,b,CH3,DCM,axial,OBn,0.167M,0 ℃,OH,OBn,OBn,1:1.5,OMe,a,73
1,1000000,H,secondary,4_OH,a,OBn,DCM,equatorial,OBn,0.167M,25 ℃,OH,OBn,OBn,1:1.5,OMe,a,48
7.16,270,N3,primary,6_OH,b,OBn,DCM,equatorial,OH,0.167M,25 ℃,OBn,OBn,OBn,1:1.5,OMe,a,35
7.16,2656,OBn,primary,6_OH,b,OBn,DCM,equatorial,OH,0.167M,25 ℃,OBn,OBn,OBn,1:1.5,OMe,a,54
7.16,72000,OBn,primary,6_OH,b,CH3,DCM,axial,OH,0.167M,25 ℃,OBn,OBn,OBn,1:1.5,OMe,a,52
7.16,1000000,H,primary,6_OH,a,OBn,DCM,equatorial,OH,0.167M,25 ℃,OBn,OBn,OBn,1:1.5,OMe,a,72
1,270,N3,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.167M,25 ℃,OH,OBn,OBn,1:1.5,OMe,a,61
1,2656,OBn,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.167M,25 ℃,OH,OBn,OBn,1:1.5,OMe,a,73
1,72000,OBn,secondary,4_OH,b,CH3,DCM,axial,OBn,0.167M,25 ℃,OH,OBn,OBn,1:1.5,OMe,a,77
1,1000000,H,secondary,4_OH,a,OBn,DCM,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,87
7.16,270,N3,primary,6_OH,b,OBn,DCM,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,20
7.16,2656,OBn,primary,6_OH,b,OBn,DCM,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,31
7.16,72000,OBn,primary,6_OH,b,CH3,DCM,axial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,73
7.16,1000000,H,primary,6_OH,a,OBn,DCM,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,78
1,270,N3,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,22
1,2656,OBn,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,72
1,72000,OBn,secondary,4_OH,b,CH3,DCM,axial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,66
1,1000000,H,secondary,4_OH,a,OBn,DCM,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,86
7.16,270,N3,primary,6_OH,b,OBn,THF,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,63
7.16,2656,OBn,primary,6_OH,b,OBn,THF,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,30
7.16,72000,OBn,primary,6_OH,b,CH3,THF,axial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,64
7.16,1000000,H,primary,6_OH,a,OBn,THF,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,77
1,270,N3,secondary,4_OH,b,OBn,THF,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,44
1,2656,OBn,secondary,4_OH,b,OBn,THF,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,68
1,72000,OBn,secondary,4_OH,b,CH3,THF,axial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,77
1,1000000,H,secondary,4_OH,a,OBn,THF,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,89
7.16,270,N3,primary,6_OH,b,OBn,Toluene,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,25
7.16,2656,OBn,primary,6_OH,b,OBn,Toluene,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,20
7.16,72000,OBn,primary,6_OH,b,CH3,Toluene,axial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,71
7.16,1000000,H,primary,6_OH,a,OBn,Toluene,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,72
1,270,N3,secondary,4_OH,b,OBn,Toluene,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,58
1,2656,OBn,secondary,4_OH,b,OBn,Toluene,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,61
1,72000,OBn,secondary,4_OH,b,CH3,Toluene,axial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,63
1,1000000,H,secondary,4_OH,a,OBn,Toluene,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,83
7.16,270,N3,primary,6_OH,b,OBn,DCM/ACN,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,0
7.16,2656,OBn,primary,6_OH,b,OBn,DCM/ACN,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,10
7.16,72000,OBn,primary,6_OH,b,CH3,DCM/ACN,axial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,26
7.16,1000000,H,primary,6_OH,a,OBn,DCM/ACN,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,75
1,270,N3,secondary,4_OH,b,OBn,DCM/ACN,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,55
1,2656,OBn,secondary,4_OH,b,OBn,DCM/ACN,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,68
1,72000,OBn,secondary,4_OH,b,CH3,DCM/ACN,axial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,64
1,1000000,H,secondary,4_OH,a,OBn,DCM/ACN,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,79
7.16,270,N3,primary,6_OH,b,OBn,DCM/DMF,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,40
7.16,2656,OBn,primary,6_OH,b,OBn,DCM/DMF,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,50
7.16,72000,OBn,primary,6_OH,b,CH3,DCM/DMF,axial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,79
7.16,1000000,H,primary,6_OH,a,OBn,DCM/DMF,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,75
1,270,N3,secondary,4_OH,b,OBn,DCM/DMF,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,50
1,2656,OBn,secondary,4_OH,b,OBn,DCM/DMF,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,70
1,72000,OBn,secondary,4_OH,b,CH3,DCM/DMF,axial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,66
1,1000000,H,secondary,4_OH,a,OBn,DCM/DMF,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,84
7.16,270,N3,primary,6_OH,b,OBn,DCM/p-Dioxane,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,69
7.16,2656,OBn,primary,6_OH,b,OBn,DCM/p-Dioxane,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,54
7.16,72000,OBn,primary,6_OH,b,CH3,DCM/p-Dioxane,axial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,89
7.16,1000000,H,primary,6_OH,a,OBn,DCM/p-Dioxane,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,90
1,270,N3,secondary,4_OH,b,OBn,DCM/p-Dioxane,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,62
1,2656,OBn,secondary,4_OH,b,OBn,DCM/p-Dioxane,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,78
1,72000,OBn,secondary,4_OH,b,CH3,DCM/p-Dioxane,axial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,73
1,1000000,H,secondary,4_OH,a,OBn,DCM/p-Dioxane,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,92
7.16,270,N3,primary,6_OH,b,OBn,DCM,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,20
7.16,2656,OBn,primary,6_OH,b,OBn,DCM,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,31
7.16,72000,OBn,primary,6_OH,b,CH3,DCM,axial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,73
7.16,1000000,H,primary,6_OH,a,OBn,DCM,equatorial,OH,0.167M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,78
1,270,N3,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,22
1,2656,OBn,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,72
1,72000,OBn,secondary,4_OH,b,CH3,DCM,axial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,66
1,1000000,H,secondary,4_OH,a,OBn,DCM,equatorial,OBn,0.167M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,86
7.16,270,N3,primary,6_OH,b,OBn,DCM,equatorial,OH,0.308M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,42
7.16,2656,OBn,primary,6_OH,b,OBn,DCM,equatorial,OH,0.308M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,38
7.16,72000,OBn,primary,6_OH,b,CH3,DCM,axial,OH,0.308M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,69
7.16,1000000,H,primary,6_OH,a,OBn,DCM,equatorial,OH,0.308M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,75
1,270,N3,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.308M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,31
1,2656,OBn,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.308M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,64
1,72000,OBn,secondary,4_OH,b,CH3,DCM,axial,OBn,0.308M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,62
1,1000000,H,secondary,4_OH,a,OBn,DCM,equatorial,OBn,0.308M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,80
7.16,270,N3,primary,6_OH,b,OBn,DCM,equatorial,OH,0.051M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,38
7.16,2656,OBn,primary,6_OH,b,OBn,DCM,equatorial,OH,0.051M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,41
7.16,72000,OBn,primary,6_OH,b,CH3,DCM,axial,OH,0.051M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,70
7.16,1000000,H,primary,6_OH,a,OBn,DCM,equatorial,OH,0.051M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,72
1,270,N3,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.051M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,24
1,2656,OBn,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.051M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,69
1,72000,OBn,secondary,4_OH,b,CH3,DCM,axial,OBn,0.051M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,73
1,1000000,H,secondary,4_OH,a,OBn,DCM,equatorial,OBn,0.051M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,78
7.16,270,N3,primary,6_OH,b,OBn,DCM,equatorial,OH,0.036M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,46
7.16,2656,OBn,primary,6_OH,b,OBn,DCM,equatorial,OH,0.036M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,32
7.16,72000,OBn,primary,6_OH,b,CH3,DCM,axial,OH,0.036M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,66
7.16,1000000,H,primary,6_OH,a,OBn,DCM,equatorial,OH,0.036M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,74
1,270,N3,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.036M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,26
1,2656,OBn,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.036M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,70
1,72000,OBn,secondary,4_OH,b,CH3,DCM,axial,OBn,0.036M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,72
1,1000000,H,secondary,4_OH,a,OBn,DCM,equatorial,OBn,0.036M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,74
7.16,270,N3,primary,6_OH,b,OBn,DCM,equatorial,OH,0.018M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,50
7.16,2656,OBn,primary,6_OH,b,OBn,DCM,equatorial,OH,0.018M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,36
7.16,72000,OBn,primary,6_OH,b,CH3,DCM,axial,OH,0.018M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,63
7.16,1000000,H,primary,6_OH,a,OBn,DCM,equatorial,OH,0.018M,-40 ℃,OBn,OBn,OBn,1:1.5,OMe,a,70
1,270,N3,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.018M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,30
1,2656,OBn,secondary,4_OH,b,OBn,DCM,equatorial,OBn,0.018M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,68
1,72000,OBn,secondary,4_OH,b,CH3,DCM,axial,OBn,0.018M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,70
1,1000000,H,secondary,4_OH,a,OBn,DCM,equatorial,OBn,0.018M,-40 ℃,OH,OBn,OBn,1:1.5,OMe,a,77
